date,State- District,Country Code,Zon,income_median,expenditure_mean,gini,poverty
"Saturday, January 1, 2022",Johor-Batu Pahat,JHR,Selatan,6347,4570,0.3383,5.1
"Saturday, January 1, 2022",Johor-Johor Bahru,JHR,Selatan,8232,6139,0.3585,3.7
"Saturday, January 1, 2022",Johor-Kluang,JHR,Selatan,5204,4399,0.35367,7.2
"Saturday, January 1, 2022",Johor-Kota Tinggi,JHR,Selatan,6227,4498,0.34335,5
"Saturday, January 1, 2022",Johor-Mersing,JHR,Selatan,4445,4032,0.33877,12.7
"Saturday, January 1, 2022",Johor-Mersing,,Selatan,4445,4032,0.33877,12.7
"Saturday, January 1, 2022",Johor-Muar,JHR,Selatan,5724,4740,0.39413,6.1
"Saturday, January 1, 2022",Johor-Pontian,JHR,Selatan,5616,4535,0.36093,5.1
"Saturday, January 1, 2022",Johor-Segamat,JHR,Selatan,5318,4426,0.33996,7.4
"Saturday, January 1, 2022",Johor-Kulai,JHR,Selatan,7460,5646,0.33673,0.4
"Saturday, January 1, 2022",Johor-Tangkak,JHR,Selatan,5622,4198,0.37081,6.9
"Saturday, January 1, 2022",Kedah-Baling,KDH,Utara,3400,2732,0.34655,14.4
"Saturday, January 1, 2022",Kedah-Bandar Baharu,KDH,Utara,3922,2751,0.29146,3.9
"Saturday, January 1, 2022",Kedah-Kota Setar,KDH,Utara,4751,4253,0.34795,5.1
"Saturday, January 1, 2022",Kedah-Kuala Muda,KDH,Utara,4200,3840,0.40406,13.8
"Saturday, January 1, 2022",Kedah-Kubang Pasu,,Utara,5201,4062,0.32483,3.3
"Saturday, January 1, 2022",Kedah-Kulim,KDH,Utara,4498,3647,0.35851,11.4
"Saturday, January 1, 2022",Kedah-Langkawi,KDH,Utara,5250,3680,0.30215,5.7
"Saturday, January 1, 2022",Kedah-Padang Terap,KDH,Utara,3902,3751,0.32346,8.9
"Saturday, January 1, 2022",Kedah-Padang Terap,KDH,Utara,3902,3751,0.32346,8.9
"Saturday, January 1, 2022",Kedah-Sik,KDH,Utara,3703,3530,0.33313,4
"Saturday, January 1, 2022",Kedah-Yan,KDH,Utara,4080,3339,0.29118,6
"Saturday, January 1, 2022",Kedah-Pendang,KDH,Utara,3801,3562,0.34864,7.3
"Saturday, January 1, 2022",Kedah-Pokok Sena,KDH,Utara,4668,4033,0.31026,7.2
"Saturday, January 1, 2022",Kelantan-Bachok,KLTN,Timur,3625,3282,0.3743,12.1
"Saturday, January 1, 2022",Kelantan-Kota Bharu,KLTN,Timur,4330,3886,0.38399,10.5
"Saturday, January 1, 2022",Kelantan-Machang,KLTN,Timur,3429,3267,0.41379,12
"Saturday, January 1, 2022",Kelantan-Pasir Mas,KLTN,Timur,3508,3225,0.3622,9
"Saturday, January 1, 2022",Kelantan-Pasir Puteh,KLTN,Timur,3453,3525,0.37796,15.9
"Saturday, January 1, 2022",Kelantan-Tanah Merah,KLTN,Timur,2991,3247,0.37742,17.9
"Saturday, January 1, 2022",Kelantan-Tumpat,KLTN,Timur,3749,3831,0.36652,13.5
"Saturday, January 1, 2022",Kelantan-Gua Musang,KLTN,Timur,3342,3625,0.36024,18.5
"Saturday, January 1, 2022",Kelantan-Kuala Krai,KLTN,Timur,2763,2853,0.39889,22.4
"Saturday, January 1, 2022",Kelantan-Jeli,KLTN,Timur,2906,2746,0.35032,11.3
"Saturday, January 1, 2022",Kelantan-Kecil Lojing,KLTN,Timur,2630,2720,0.36543,43.8
"Saturday, January 1, 2022",Melaka-Alor Gajah,MLK,Selatan,5611,5338,0.34311,4.8
"Saturday, January 1, 2022",Melaka-Jasin,MLK,Selatan,5895,5005,0.33157,5.5
"Saturday, January 1, 2022",Melaka-Melaka Tengah,MLK,Selatan,6557,6015,0.38301,3.7
"Saturday, January 1, 2022",Negeri Sembilan-Jelebu,NSN,Selatan,3636,3457,0.32552,7.3
"Saturday, January 1, 2022",Negeri Sembilan-Kuala Pilah,NSN,Selatan,3471,3567,0.34594,6.8
"Saturday, January 1, 2022",Negeri Sembilan-Port Dickson,NSN,Selatan,4805,4500,0.34453,4.9
"Saturday, January 1, 2022",Negeri Sembilan-Rembau,NSN,Selatan,4655,3897,0.34352,3
"Saturday, January 1, 2022",Negeri Sembilan-Seremban,NSN,Selatan,6384,5225,0.3543,3
"Saturday, January 1, 2022",Negeri Sembilan-Tampin,NSN,Selatan,4012,3750,0.34719,7.3
"Saturday, January 1, 2022",Negeri Sembilan-Jempol,NSN,Selatan,3830,3608,0.33117,8
